date,brand,category,gender,department,revenue,return_value,net_revenue,return_rate,Orders,Customers,AOV
22-09-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
25-12-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
02-07-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
11-08-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
16-05-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
31-03-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
04-05-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
07-09-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
03-01-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
07-10-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
21-01-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
05-05-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
16-08-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
29-03-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
17-04-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
13-03-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
02-10-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
18-01-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
09-11-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
31-08-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
25-03-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
26-11-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
06-01-2025,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
15-07-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
01-04-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
13-10-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
02-06-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
21-03-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
25-04-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
12-04-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
15-07-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
02-01-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
08-05-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
09-05-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
20-10-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
17-05-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
06-05-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
08-08-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
11-10-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
03-01-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
26-03-2024,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
26-11-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
05-01-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
01-08-2024,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
02-01-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
17-03-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
16-04-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
27-03-2025,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
20-09-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
27-04-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
09-06-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
07-03-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
14-07-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
20-04-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
23-06-2024,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
22-03-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
05-10-2024,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
26-01-2025,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
16-01-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
16-08-2023,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
08-01-2025,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
20-09-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
24-03-2023,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
25-08-2023,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
06-07-2023,the set,towels,younger girls,homeware,85117,78423,6694,92.14%,356,276,£239.09
28-11-2024,all saints,t-shirts,women,fashion,80379,40968,39411,50.97%,320,148,£251.18
15-01-2023,next,rompersuits,women,fashion,54770,31687,23083,57.85%,299,286,£183.18
03-01-2023,next,skirts,unisex,homeware,99134,31433,67701,31.71%,208,155,£476.61
05-05-2025,cath kidston,towels,men,homeware,24860,24280,580,97.67%,489,265,£50.84
13-05-2024,cath kidston,shirts,younger girls,fashion,81874,61338,20536,74.92%,67,53,£1222.00
