DirectoryFinWeek,Season,Week_start_date,Week_end_date,category,department,Gender,brand,Account_number,Orders,item_qty,%new customer,Revenue,Return value,Net Revenue,Return Rate,MD_revenue,FP_revenue,%Markdwon,%FullPrice,AOV
W202349,AW2023,30-12-2023,05-01-2024,jeans,fashion,women,next,3261,2817,5159,11.22,387318,2985,3121,48.89,105180,282138,27.16,72.84,58.71153846
W202349,AW2023,30-12-2023,05-01-2024,dresses,fashion,women,next,9827,9543,13318,11.67,510191,42316,81327,34.22,53195,456996,10.43,89.57,77.03613707
W202349,AW2023,30-12-2023,05-01-2024,jumpers,fashion,women,next,3990,3768,6762,7.39,416120,172732,103474,62.54,75023,341097,18.03,81.97,116.1017234
W202349,AW2023,30-12-2023,05-01-2024,dresses,fashion,women,lipsy,1977,1869,3874,18.21,209260,82554,37376,68.84,44952,164308,21.48,78.52,48.85132383
W202349,AW2023,30-12-2023,05-01-2024,trousers,fashion,women,next,2081,1902,2847,20.37,209767,283460,145112,66.14,64624,145143,30.81,69.19,134.9833071
W202349,AW2023,30-12-2023,05-01-2024,dresses,fashion,women,reiss,7294,7110,9041,11.05,144777,70236,44719,61.1,37728,107049,26.06,73.94,64.00612472
W202349,AW2023,30-12-2023,05-01-2024,trousers,fashion,men,next,5281,5155,7928,18.16,493850,74775,137089,35.29,166361,327489,33.69,66.31,61.8400467
W202349,AW2023,30-12-2023,05-01-2024,shirts,fashion,men,next,7232,5898,6511,12.98,142704,361469,450409,44.52,43985,98719,30.82,69.18,122.9559291
W202349,AW2023,30-12-2023,05-01-2024,boots,fashion,women,next,3879,3116,5066,5.34,302500,115740,182696,38.78,69107,233393,22.85,77.15,109.5982372
W202349,AW2023,30-12-2023,05-01-2024,suit jackets,fashion,men,next,7881,6305,7330,20.92,194005,39041,64192,37.82,64476,129529,33.23,66.77,15.8502994
W202349,AW2023,30-12-2023,05-01-2024,jeans,fashion,men,next,7561,7253,11338,20.55,381207,142949,248328,36.53,100243,280964,26.3,73.7,82.66997676
W202349,AW2023,30-12-2023,05-01-2024,shoes,fashion,women,next,8523,7349,13132,25.71,169126,107386,117479,47.76,56310,112816,33.29,66.71,36.74264706
W202349,AW2023,30-12-2023,05-01-2024,leggings,fashion,women,next,9772,8544,12186,16.84,146666,321736,318948,50.22,31106,115560,21.21,78.79,86.21773651
W202349,AW2023,30-12-2023,05-01-2024,t-shirts,fashion,women,next,6793,5637,9313,7.27,262961,101570,147240,40.82,34536,228425,13.13,86.87,37.71562832
W202349,AW2023,30-12-2023,05-01-2024,coats,fashion,women,next,7813,6883,11880,7.74,521238,51508,38285,57.36,83773,437465,16.07,83.93,48.35379645
W202349,AW2023,30-12-2023,05-01-2024,shoes,fashion,Kids,next,1973,1612,2985,26.96,189068,167679,151352,52.56,62135,126933,32.86,67.14,52.09519922
W202349,AW2023,30-12-2023,05-01-2024,trousers,fashion,Kids,next,2542,2350,4397,25.49,244659,21721,9414,69.76,59956,184703,24.51,75.49,64.59543568
W202349,AW2023,30-12-2023,05-01-2024,jumpers,fashion,women,reiss,300,264,482,15.0,36310,34049,76668,30.75,4125,32185,11.36,88.64,65.20435807
W202349,AW2023,30-12-2023,05-01-2024,bed sets,homeware,unisex,next,611,574,1201,17.68,67863,29393,58927,33.28,15050,52813,22.18,77.82,115.6020942
W202349,AW2023,30-12-2023,05-01-2024,jumpers,fashion,men,next,488,482,1009,18.65,66087,78698,56017,58.42,16965,49122,25.67,74.33,70.1640625
W202349,AW2023,30-12-2023,05-01-2024,dresses,fashion,women,friends like these,5218,4806,5858,13.42,137915,65315,78388,45.45,20987,116928,15.22,84.78,88.37822878
W202349,AW2023,30-12-2023,05-01-2024,blouses,fashion,women,love and roses,2784,2249,3707,17.56,251274,26464,40153,39.73,84486,166788,33.62,66.38,86.74088542
W202349,AW2023,30-12-2023,05-01-2024,bras,fashion,women,next,8342,6747,12890,21.45,362117,209782,331626,38.75,105121,256996,29.03,70.97,77.11266201
W202349,AW2023,30-12-2023,05-01-2024,ceiling lights,homeware,unisex,next,3121,3062,4929,21.56,365185,161108,258818,38.37,37159,328026,10.18,89.82,104.2517378
W202349,AW2023,30-12-2023,05-01-2024,swimsuits,fashion,women,next,8754,7587,10185,6.21,331952,3440,6786,33.64,95926,236026,28.9,71.1,39.33076923
W202349,AW2023,30-12-2023,05-01-2024,suit trousers,fashion,men,next,26,21,36,19.23,492,25634,24471,51.16,154,338,31.3,68.7,15.6236358
W202349,AW2023,30-12-2023,05-01-2024,sofas,homeware,unisex,next,9603,8011,13422,21.51,400802,99864,120001,45.42,53861,346941,13.44,86.56,30.69454139
W202349,AW2023,30-12-2023,05-01-2024,t-shirts,fashion,Kids,next,8270,7358,13042,8.26,593095,456277,469681,49.28,179728,413367,30.3,69.7,114.4571075
W202349,AW2023,30-12-2023,05-01-2024,curtains,homeware,unisex,next,8433,6928,12988,11.66,234813,94117,78903,54.4,60869,173944,25.92,74.08,33.57004269
W202349,AW2023,30-12-2023,05-01-2024,pyjamas,fashion,women,next,2777,2699,4097,25.96,170194,32277,42789,43.0,38520,131674,22.63,77.37,53.31392045
W202349,AW2023,30-12-2023,05-01-2024,dresses,fashion,Kids,next,1447,1425,2636,10.44,110556,129920,77352,62.68,34071,76485,30.82,69.18,33.59896255
W202349,AW2023,30-12-2023,05-01-2024,blouses,fashion,women,next,1068,1009,1218,25.0,51343,59648,32006,65.08,6690,44653,13.03,86.97,77.87085811
W202349,AW2023,30-12-2023,05-01-2024,rugs,homeware,unisex,next,948,860,1647,14.66,95185,80165,79064,50.35,31740,63445,33.35,66.65,23.24510949
W202349,AW2023,30-12-2023,05-01-2024,jackets,fashion,men,reiss,785,693,1398,9.55,67535,44801,72139,38.31,16581,50954,24.55,75.45,64.93059411
W202349,AW2023,30-12-2023,05-01-2024,trousers,fashion,women,reiss,3015,2945,5829,13.13,418203,170066,151144,52.95,118375,299828,28.31,71.69,115.8348359
W202349,AW2023,30-12-2023,05-01-2024,dresses,fashion,women,love and roses,6353,5537,10894,10.94,557801,12214,23363,34.33,153431,404370,27.51,72.49,69.89587426
W202349,AW2023,30-12-2023,05-01-2024,joggers,fashion,Kids,next,3914,3707,5219,6.9,312946,90328,207845,30.29,89854,223092,28.71,71.29,96.24693351
W202349,AW2023,30-12-2023,05-01-2024,trainers,fashion,women,nike,3997,3733,4343,24.29,87279,251190,126508,66.51,26234,61045,30.06,69.94,116.2147692
